Al-Fatihah,7,29,143
Al-Baqarah,286,6140,26249
Ale Imran,200,3501,14985
An Nisa,176,3763,16332
Al Maidah,120,2837,12206
Al Anam,165,3056,12726
Al Araf,206,3341,14435
Al Anfal,75,1242,5387
At Tawbah,129,2505,11115
Yunus,109,1839,7589
Hud,123,1946,7817
Yusuf,111,1795,7307
Ar Rad,43,853,3545
Ibrahim,52,830,3539
Al Hijr,99,657,2882
An Nahl,128,1844,7832
Al Isra,111,1558,6643
Al Kahf,110,1583,6552
Maryam,98,971,3935
Ta Ha,135,1353,5399
Al Anbiya,112,1174,5094
Al Hajj,78,1279,5314
Al Muminun,118,1052,4483
An Noor,64,1319,5754
Al Furqan,77,896,3878
Ash Shuara,227,1320,5630
An Naml,93,1159,4790
Al Qasas,88,1438,5930
Al Ankabut,69,978,4317
Ar Rum,60,817,3472
Luqman,34,550,2171
As Sajdah,30,372,1563
Al Ahzab,73,1303,5788
Saba,54,884,3594
Fatir,45,778,3238
Yasin,83,730,3068
As Saffaat,182,865,3899
Sad,88,735,3065
Az Zumar,75,1177,4869
Ghafir,85,1226,5108
Fussilat,54,794,3365
Ash Shura,53,860,3522
Az Zukhruf,89,836,3609
Ad Dukhan,59,346,1474
Al Jathiyah,37,488,2085
Al Ahqaf,35,645,2667
Muhammad,38,542,2423
Al Fath,29,560,2510
Al Hujurat,18,353,1533
Qaf,45,373,1507
Ad Dhariyat,60,360,1546
At Tur,49,312,1324
An Najm,62,360,1433
Al Qamar,55,342,1469
Ar Rahman,78,352,1647
Al Waqiah,96,379,1756
Al Hadid,29,575,2545
Al Mujadilah,22,475,2046
Al Hashr,24,447,1970
Al Mumtahanah,13,352,1560
As Saff,14,226,966
Al Jumuah,11,177,768
Al Munafiqun,11,181,801
At Taghabun,18,242,1091
At Talaq,12,289,1203
At Tahrim,12,254,1105
Al Mulk,30,333,1347
Al Qalam,52,301,1289
Al Haqqah,52,260,1133
Al Maarij,44,217,971
Nuh,28,227,965
Al Jinn,28,286,1109
Al Muzzammil,20,200,854
Al Muddathir,56,256,1035
Al Qiyamah,40,164,676
Al Insan,31,243,1087
Al Mursalat,50,181,841
An Naba,40,174,796
An Naziat,46,179,785
Abasa,42,133,552
At Takwir,29,104,435
Al Infitar,19,81,333
Al Mutaffifeen,36,169,750
Al Inshiqaq,25,108,445
Al Burooj,22,109,469
At Tariq,17,61,254
Al Ala,19,72,296
Al Ghashiyah,26,92,382
Al Fajr,30,139,584
Al Balad,20,82,342
Ash Shams,15,54,253
Al Lail,21,71,314
Ad Dhuha,11,40,165
Al Inshirah,8,27,102
At Tin,8,34,162
Al Alaq,19,72,288
Al Qadr,5,30,115
Al Bayyinah,8,94,404
Az Zilzal,8,36,158
Al Adiyat,11,40,169
Al Qariah,11,36,160
At Takathur,8,28,123
Al Asr,3,14,73
Al Humazah,9,33,134
Al Feel,5,23,97
Al Quraysh,4,17,77
Al Maun,7,25,114
Al Kawthar,3,10,43
Al Kafirun,6,27,99
An Nasr,3,19,80
Al Masad/Lahab,5,23,81
Al Ikhlas,4,15,47
Al Falaq,5,23,73
An Nas,6,20,80
